toi,toipfx,tfopwg_disp,pl_orbper,pl_rade,pl_insol,st_tmag,st_dist,st_teff,st_logg,st_rad
1000.01,1000,FP,2.1713484,5.8181633,22601.9485814,9.604,485.735,10249.0,4.19,2.16986
1001.01,1001,PC,1.9316462,11.2154,44464.5,9.42344,295.862,7070.0,4.03,2.01
1002.01,1002,FP,1.8675574,23.7529,2860.61,9.299501,943.109,8924.0,,5.73
1003.01,1003,FP,2.74323,,1177.36,9.3003,7728.17,5388.5,4.15,
1004.01,1004,FP,3.5730141,11.3113,54679.3,9.1355,356.437,9219.0,4.14,2.15
1005.01,1005,FP,4.55072,6.54449,254.05,9.1309,100.711,5613.0,,1.09
1006.01,1006,FP,2.5047918,8.6950898,1750.932635,9.2386,,6616.0,,1.53429
1007.01,1007,PC,6.9989206,14.7752,448.744,8.87759,283.291,6596.0,3.71,2.7
1008.01,1008,FP,2.0483755,3.19621,5644.4,8.9362,144.297,6858.5,4.2,1.57
1009.01,1009,PC,1.9600277,,1063.3422958,8.4331,866.147,8868.7,,
101.01,101,KP,1.4303699,13.1874503,1281.2408254,12.4069,375.31,5600.0,4.48851,0.890774
1010.01,1010,FP,0.6808702,5.9115908,87140.6995884,8.45086,485.122,9438.0,,1.0
1011.01,1011,PC,2.4704981,1.44656,575.597,8.2388,52.62,5413.7,4.46,0.94
1012.01,1012,APC,0.884182,24.8132,112144.0,8.12718,295.959,8928.0,3.92,2.72
1013.01,1013,FP,5.4255548,,273.5880696,7.6095,510.295,8868.7,,
1014.01,1014,FP,1.4095184,,1650.422071,7.678,224.672,9307.0,,
1015.01,1015,FP,1.3730466,42.1479417,3160.6328329,10.7069,906.496,4897.0,,6.7996101
1016.01,1016,FP,12.6889415,14.0608342,425.1594177,10.6257,368.646,7601.0,4.31,1.53641
1017.01,1017,FP,1.10422,21.0448,39459.3,10.6019,406.997,6995.2,4.07,1.61
1018.01,1018,FP,4.95912,22.9123,673.55,10.6254,360.541,5889.0,3.86,2.0
1019.01,1019,PC,5.2341008,24.2931408,1453.6663847,10.6348,399.544,7645.0,4.3,1.56203
102.01,102,KP,4.4119378,15.4706,653.252,9.7109,175.631,6280.0,4.32092,1.21
1020.01,1020,FP,3.28892,,29832.6,10.7173,906.827,8734.2,4.1,
1021.01,1021,FP,1.90879,3.34688,985.807,10.5551,235.974,6022.6,4.52,1.22
